ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415063297.18897,template1,0,0,0,0,0,0,0,0,0,0
1415063297.18897,template0,0,0,0,0,0,0,0,0,0,0
1415063297.18897,postgres,0,1129,4,6260,40825,521533,13833,0,0,0
1415063297.18897,dbt3,11,15761,0,2658334623,2967566672,70433823394,40219878163,695202406,1804,1505133
1415063357.19252,template1,0,0,0,0,0,0,0,0,0,0
1415063357.19252,template0,0,0,0,0,0,0,0,0,0,0
1415063357.19252,postgres,0,1131,4,6260,40883,522459,13844,0,0,0
1415063357.19252,dbt3,6,15832,0,2659078551,2969716598,70479234784,40219885598,721802691,1879,1505139
1415063417.1979,template1,0,0,0,0,0,0,0,0,0,0
1415063417.1979,template0,0,0,0,0,0,0,0,0,0,0
1415063417.1979,postgres,0,1133,4,6260,40941,523385,13855,0,0,0
1415063417.1979,dbt3,3,15849,0,2659329772,2970736122,70539240605,40219887755,721802755,1880,1505139
1415063477.20416,template1,0,0,0,0,0,0,0,0,0,0
1415063477.20416,template0,0,0,0,0,0,0,0,0,0,0
1415063477.20416,postgres,0,1135,4,6260,40999,524311,13866,0,0,0
1415063477.20416,dbt3,3,15863,0,2659329772,2970739686,70539245841,40219889299,721802755,1880,1505139
1415063537.21166,template1,0,0,0,0,0,0,0,0,0,0
1415063537.21166,template0,0,0,0,0,0,0,0,0,0,0
1415063537.21166,postgres,0,1137,4,6260,41057,525237,13877,0,0,0
1415063537.21166,dbt3,5,15873,0,2659329772,2970742433,70539250325,40219890421,721802755,1880,1505139
1415063597.2167,template1,0,0,0,0,0,0,0,0,0,0
1415063597.2167,template0,0,0,0,0,0,0,0,0,0,0
1415063597.2167,postgres,0,1139,4,6260,41115,526163,13888,0,0,0
1415063597.2167,dbt3,12,15897,0,2660395452,2973054446,70539256208,40219892275,781788807,1880,1505139
1415063657.22092,template1,0,0,0,0,0,0,0,0,0,0
1415063657.22092,template0,0,0,0,0,0,0,0,0,0,0
1415063657.22092,postgres,0,1141,4,6260,41173,527089,13899,0,0,0
1415063657.22092,dbt3,11,15911,0,2661458821,2973059754,70599247410,40219893731,781788811,1880,1505139
1415063717.24958,template1,0,0,0,0,0,0,0,0,0,0
1415063717.24958,template0,0,0,0,0,0,0,0,0,0,0
1415063717.24958,postgres,0,1143,4,6260,41231,528015,13910,0,0,0
1415063717.24958,dbt3,8,15928,0,2665591210,2973193038,70839196894,40219895623,781788831,1882,1505139
1415063777.22972,template1,0,0,0,0,0,0,0,0,0,0
1415063777.22972,template0,0,0,0,0,0,0,0,0,0,0
1415063777.22972,postgres,0,1145,4,6260,41289,528941,13921,0,0,0
1415063777.22972,dbt3,6,15944,0,2666593353,2973260217,70899188849,40219897440,781788837,1882,1505139
1415063837.23474,template1,0,0,0,0,0,0,0,0,0,0
1415063837.23474,template0,0,0,0,0,0,0,0,0,0,0
1415063837.23474,postgres,0,1147,4,6260,41347,529867,13932,0,0,0
1415063837.23474,dbt3,4,15960,0,2668671227,2973317083,71019166713,40219899430,781788851,1882,1505139
1415063897.23781,template1,0,0,0,0,0,0,0,0,0,0
1415063897.23781,template0,0,0,0,0,0,0,0,0,0,0
1415063897.23781,postgres,0,1149,4,6260,41405,530793,13943,0,0,0
1415063897.23781,dbt3,6,15973,0,2668671227,2973320127,71019171418,40219900682,781788851,1882,1505139
1415063957.2474,template1,0,0,0,0,0,0,0,0,0,0
1415063957.2474,template0,0,0,0,0,0,0,0,0,0,0
1415063957.2474,postgres,0,1151,4,6260,41463,531719,13954,0,0,0
1415063957.2474,dbt3,5,15988,0,2668671227,2973323813,71019177189,40219902328,781788851,1882,1505139
