# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415063348;sdb;637.02;9480.53;312942.67;506.15;10.11;15.88;0.21;13.51
axle;60;1415063348;sda;6.35;6.40;120.00;19.91;0.00;0.08;0.06;0.04
axle;60;1415063408;sdb;438.32;6596.27;209647.07;493.35;6.92;15.79;0.23;10.01
axle;60;1415063408;sda;3.32;8.00;47.07;16.60;0.00;0.18;0.12;0.04
axle;60;1415063468;sdb;295.07;6672.80;130372.80;464.46;3.88;13.15;0.19;5.73
axle;60;1415063468;sda;3.03;4.40;42.67;15.52;0.00;0.09;0.09;0.03
axle;60;1415063528;sdb;231.58;6519.47;96415.60;444.48;2.25;9.70;0.16;3.81
axle;60;1415063528;sda;3.03;6.40;41.07;15.65;0.00;0.13;0.13;0.04
axle;60;1415063588;sdb;258.43;6638.93;111694.00;457.89;3.74;14.47;0.20;5.13
axle;60;1415063588;sda;23.70;18.40;653.20;28.34;0.03;1.10;0.23;0.54
axle;60;1415063648;sdb;651.53;6254.93;335770.53;524.95;19.96;30.64;0.28;18.04
axle;60;1415063648;sda;16.65;8.40;603.60;36.76;0.10;5.81;1.13;1.89
axle;60;1415063708;sdb;178.47;6720.13;66761.07;411.74;1.88;10.54;0.17;3.08
axle;60;1415063708;sda;119.62;7.33;4745.07;39.73;0.28;2.38;0.27;3.23
axle;60;1415063768;sdb;186.20;6916.27;72257.07;425.21;2.40;12.92;0.21;3.95
axle;60;1415063768;sda;6.68;13.87;140.93;23.16;0.01;1.52;1.08;0.72
axle;60;1415063828;sdb;363.60;12285.87;158316.80;469.20;6.62;18.22;0.28;10.00
axle;60;1415063828;sda;6.42;7.87;97.87;16.48;0.51;79.12;7.15;4.59
axle;60;1415063888;sdb;135.27;13506.80;26799.73;297.98;0.19;1.42;0.22;3.00
axle;60;1415063888;sda;3.75;10.80;44.27;14.68;0.00;0.21;0.21;0.08
axle;60;1415063948;sdb;159.20;13372.00;34312.00;299.52;0.77;4.86;0.21;3.37
axle;60;1415063948;sda;2.93;3.60;39.07;14.55;0.00;0.11;0.11;0.03
