# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415063348;22279120;241840436;91.56;192924;203601536;134320392;49.08;152230712;80053040
axle;60;1415063408;17031564;247087992;93.55;193152;208858376;134255672;49.05;156493724;81045964
axle;60;1415063468;14877800;249241756;94.37;193336;211010420;134256188;49.05;158607664;81071472
axle;60;1415063528;12732160;251387396;95.18;193508;213150992;134272324;49.06;160720740;81111296
axle;60;1415063588;8930892;255188664;96.62;193688;214543484;137240192;50.15;164484032;81159060
axle;60;1415063648;6762476;257357080;97.44;193460;215842700;137686640;50.31;165426604;82382324
axle;60;1415063708;507072;263612484;99.81;191576;211862508;148674112;54.32;173364188;80707456
axle;60;1415063768;647896;263471660;99.75;191096;213565484;146096612;53.38;171067432;82848864
axle;60;1415063828;8378932;255740624;96.83;190156;213357948;138426864;50.58;163268724;82957496
axle;60;1415063888;7401800;256717756;97.20;190336;214309752;138426864;50.58;163490292;83713576
axle;60;1415063948;5918320;258201236;97.76;190512;215789236;138443264;50.58;164608652;84076768
