# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415064653;sdb;1507.08;11312.53;62541.73;49.00;6.55;4.35;0.05;8.09
axle;60;1415064653;sda;147.90;8.53;6500.00;44.01;2.48;16.79;0.60;8.81
axle;60;1415064713;sdb;1640.18;10954.13;73183.60;51.30;4.14;2.53;0.04;6.17
axle;60;1415064713;sda;113.63;8.67;2938.27;25.93;2.14;18.86;0.32;3.69
axle;60;1415064773;sdb;1819.27;10856.00;58112.93;37.91;5.26;2.90;0.04;7.77
axle;60;1415064773;sda;39.55;5.33;931.60;23.69;0.05;1.15;0.18;0.72
axle;60;1415064833;sdb;2182.00;11460.67;62513.47;33.90;5.96;2.74;0.03;7.01
axle;60;1415064833;sda;39.62;8.67;1012.13;25.77;0.02;0.57;0.19;0.74
axle;60;1415064893;sdb;2256.70;11456.00;63869.87;33.38;6.11;2.71;0.03;7.50
axle;60;1415064893;sda;5.78;2.93;403.20;70.22;0.00;0.38;0.03;0.02
axle;60;1415064953;sdb;1803.37;11350.13;56706.40;37.74;4.68;2.60;0.04;6.51
axle;60;1415064953;sda;6.67;7.73;714.27;108.30;0.00;0.61;0.28;0.19
axle;60;1415065013;sdb;2259.92;11200.40;60014.93;31.51;8.29;3.67;0.04;9.60
axle;60;1415065013;sda;7.58;5.33;436.00;58.20;0.00;0.15;0.13;0.10
axle;60;1415065073;sdb;1878.88;11518.93;52049.20;33.83;4.52;2.41;0.03;5.69
axle;60;1415065073;sda;5.98;5.20;395.33;66.94;0.00;0.57;0.19;0.11
axle;60;1415065133;sdb;2681.15;11293.87;68564.80;29.79;6.44;2.40;0.03;7.06
axle;60;1415065133;sda;14.53;0.67;543.20;37.42;0.01;0.50;0.13;0.19
axle;60;1415065193;sdb;1900.97;11805.87;52594.67;33.88;4.67;2.46;0.03;5.77
axle;60;1415065193;sda;19.23;23.60;957.73;51.02;0.01;0.70;0.18;0.35
axle;60;1415065253;sdb;1537.18;13349.07;43628.67;37.07;3.70;2.40;0.03;5.15
axle;60;1415065253;sda;5.05;12.93;374.40;76.70;0.01;1.16;0.22;0.11
axle;60;1415065313;sdb;501.37;13296.27;20471.87;67.35;1.14;2.27;0.06;2.99
axle;60;1415065313;sda;7.87;23.73;710.00;93.27;0.00;0.54;0.24;0.19
